target,tabpack,tabm,dcnv2,realmlp,gandalf,xgb_optuna,tabnet,resnet,catboost_optuna,fttransformer,tabr,xgb_default,lassonet
hsa-mir-4731-3p,0.1423793229810283,0.16987894519784,-0.1249930916715906,0.1730810293570625,0.1359023841729449,0.1016580034755149,,0.1661480803319277,0.1358156653915794,0.1736568888038406,0.1585290526723638,-0.1199268139960039,0.0825994437337215
hsa-mir-624-3p,0.1890181345204834,0.2050406766481605,0.0429951573911718,0.1586796497485407,0.1210100389999044,0.1939580204109572,,0.17463929651838,0.2006453790359098,0.163719412520257,0.1687576937191259,0.1190020384975031,0.145088484620568
hsa-mir-556-3p,0.5255016351605974,0.5225452800941381,0.3808310622030014,0.4844897904477432,0.3932226710678311,0.4820832619215619,,0.4776782832875025,0.4602755439948292,0.4540530249756385,0.4936375855386928,0.3423993615152276,
hsa-mir-15a-3p,0.4577903870667144,0.4562353958983636,0.4320265910140995,0.4481708386012889,0.4247882011347531,0.4325371908376038,,0.4477280810363705,0.4361547167730378,0.4261354110668032,0.4463245425129,0.4014278852548543,0.4379419982516878
hsa-mir-301b-5p,0.530443936697376,0.5356543476167479,0.4590727932877937,0.4963498096813942,0.5182360141949068,0.5163113510479649,,0.4865239079004279,0.4972713214943467,0.5076638484239884,0.5125538232796087,0.4528017113926531,
hsa-mir-503-3p,0.6189944592074004,0.6163509044082729,0.4971072732129008,0.5718603955336153,0.5622260349887707,0.5712215046940257,,0.5798820913205702,0.5561803144200068,0.5487139822636642,0.5693527156278535,0.488883623047883,
hsa-mir-301b-3p,0.6539983347785705,0.6374453011676587,0.5176833812278463,0.6286455217616999,0.6148497510930484,0.5997504525673534,,0.6196125648800582,0.5679370953527354,0.574360401677001,0.6292721755450326,0.4918410907317204,
hsa-mir-642a-5p,0.6454146424540568,0.6404262590085447,0.5446929385974975,0.6069818834201053,0.630689809208032,0.6086383902720661,,0.6188170905992616,0.583054381930287,0.5866161756323247,0.5913637821382465,0.4994976537173451,
hsa-mir-616-3p,0.542086707665171,0.5436950614646762,0.4922112472978049,0.5194928595237225,0.5318226255378329,0.5355872012225502,,0.5140383686398498,0.5204708442917514,0.5224695176610075,0.5261658064414634,0.5023611794394391,0.5255466981844938
hsa-mir-301a-5p,0.6420421797292976,0.6425684894673304,0.5593904566578523,0.6126729198974985,0.6128194788130974,0.6215300846792331,,0.5862521811228633,0.6024804103556283,0.596769624031452,0.6354999766098999,0.5636227145258594,0.5922309911220238
hsa-mir-3934-5p,0.6692061551450735,0.6688060614985827,0.637028630043919,0.6307314551978749,0.6355698602409825,0.6518346234267862,,0.6425768255032436,0.6474150238325032,0.655592916557965,0.6630618679932279,0.616525177174753,0.6233213342200756
hsa-mir-532-3p,0.726451610912096,0.7299780838191596,0.643299140280843,0.6816160444864886,0.6905102315836087,0.6944811519724303,,0.6571585087414034,0.6704920089546974,0.6562629962980717,0.6719007217993835,0.6184152469735813,0.6986261273165724
