target,tabpack,tabm,dcnv2,realmlp,gandalf,xgb_optuna,tabnet,resnet,catboost_optuna,fttransformer,tabr,xgb_default,lassonet
hsa-mir-363-3p,-1.0806868932914382,-0.7677793695339725,-1.7063689521909753,0.0961112967132468,-0.2774233668427515,-0.9223281634086152,,-0.7235511265586914,-1.0186389218944885,-3.181861671620882,-1.187351096549237,-0.8982018561662,-2.5257148111655243
hsa-mir-301a-5p,0.2365556109041904,0.1902715851939237,-0.2647014738619102,-0.104499172929573,0.0833989108627113,-0.2861748978780947,,0.1961514783135592,-0.0129826489088835,-0.1656295274912822,0.007028486762974,-0.8177118790682065,-0.1318552218076794
hsa-mir-326,0.3441889023594525,0.2644242702932671,0.3860171585225362,0.3524334350925999,0.2641734278476013,-0.0673800194477471,,0.0714522036005803,0.0133405596759803,0.0870198006087381,0.0322109647825098,-0.5216420950967917,-0.0256259784159615
hsa-mir-616-3p,0.027729819938564,0.0608850620165905,-0.0783115096282791,-0.0175879104167244,0.0097247877234973,-0.2753589214728495,,0.1185915815388356,-0.0482075639711809,-0.0038649236816512,-0.0021835736455753,-0.4421237007699692,-0.0596154604055518
hsa-mir-125a-3p,0.1722615028729766,0.1801787445386509,0.2029644267576782,0.2936338966889587,-0.0190193372588467,-0.0109584744720867,-0.0909300329489353,0.2849453824276132,-0.1287390640250614,0.0006649641980857,0.1892033485354554,-0.1576216242007133,-0.0281644970309513
hsa-mir-15a-3p,0.3276981586392504,0.195335733090066,0.4042806564191271,0.39659068903718,-0.0156863136167708,0.171525138471439,,0.1141174220506835,0.0998496205373336,-0.1122946671589681,0.2846921051651258,-0.1507358808023391,0.1508682453651154
hsa-mir-3934-5p,-0.0309573990171951,-0.0358363547740541,-0.004750536155514,-0.0383969500904406,-0.0321180315463232,-0.0336914071109835,,-0.0053825595476815,-0.0320825258980441,-0.0128516538220291,-0.0328354629392024,-0.1351851392476692,-0.0142874927572236
hsa-mir-99b-3p,0.1035811857880366,0.1008821765318583,-0.0221206235983935,-0.0337658044561839,-0.1162112415316514,-0.0198481869312003,,-0.0964920868650665,0.0115886771428657,-0.0822441066594634,-0.0299144378980564,-0.1322808807017166,-0.0411427600168112
hsa-mir-301b-5p,0.3634729884003901,0.45359897841052,0.0754740379044979,-0.1869781661868315,0.0845931693440599,0.0194283272338078,,0.2237222362983758,0.0970331117931476,0.1675123939844909,0.233580173321225,-0.1172320642158728,
hsa-mir-449a,-0.056608270805712,-0.0335545757210853,-0.0613162128813222,0.0482684161929853,-0.6236756354181363,-0.0505832738027152,,-0.0204617084093055,0.0131425380196026,0.0031761578627159,-0.0192081684930802,-0.0880826860978587,-0.0504164837791532
hsa-mir-200c-3p,0.0254823558349065,0.0385613285275896,-0.1008558269814721,-0.1516822150144927,-0.1009935155722598,0.0627854569024148,,-0.080195938366226,-0.0281848605467756,-0.1401522686926022,-0.0684558611928063,-0.0777134435661268,0.0622759899550211
hsa-mir-503-3p,0.0867672066717731,0.0718050741553637,0.1306901351897864,-0.0866112889543397,0.0476433449707884,0.0553554170929553,,-0.0069228883294429,0.0617760010188708,-0.0096280139998059,-0.0407456930293035,-0.0480676667697563,
hsa-mir-374a-3p,0.6575437302824945,0.5250432205357223,0.4112636709173575,0.5126949251212598,0.4685984864636202,0.1009349620731114,,0.1441970722404884,0.1542243851379667,0.1793630637224377,0.4543177196148492,-0.0262573651915936,
hsa-mir-624-3p,0.3422932452010133,0.3393862615955747,0.2429457716236512,0.4346029515381288,0.2920014394231353,0.0238618722224904,,-0.0304728642740403,0.1126557880671887,0.0002745710749919,0.0339575390827963,-0.0112585436430558,-0.1196339728453252
hsa-mir-4731-3p,0.1551485947871859,0.1896041141799206,0.1123358490756935,-0.1081600575059877,-0.1360331463943467,0.0835454455412265,,0.0188039180024442,0.1238527427020065,0.0288594303806852,-0.1358111067095113,0.0019181341743008,0.0048896818157556
hsa-mir-124-3p,0.2560934033632452,0.3348027693268839,0.3715599880976753,0.1378079220058595,0.1925763548995351,0.077007061402196,0.3472513165934967,-0.2766742404680555,0.1883897514073982,0.2198392350003449,0.1456040874758917,0.003320469595016,
hsa-mir-340-3p,0.2675135363204376,0.2432659524239818,0.1886211461216443,-0.0222745100964603,-0.0714834629151879,0.1445812090804316,,-0.1792274568826179,0.1459629648649479,0.0273380404339727,-0.0193287721888189,0.0323714089169174,0.1285592829813655
hsa-mir-129-1-3p,0.1983451345219959,0.139519087694993,0.1684248683463955,0.167084241386164,0.0838182574086467,0.0063906830679038,0.1661818533765019,0.0785307401279921,0.0363123989428058,0.0007276518830502,0.0585314328028306,0.033832261221264,0.0112112182079601
hsa-mir-556-3p,0.1436724954074982,0.1892516108187286,0.2752244310369237,0.0610398255877255,0.0877914626575723,0.1592565593273862,,-0.0814074134447311,0.1388250728209386,-0.0185551126729641,-0.0960244551286717,0.0504069563074559,
hsa-mir-887-3p,0.7190495102106123,0.5223553535706966,0.5189310109937807,0.5820179896006593,0.5901511219158556,0.1304450228523554,,0.6830782363841004,0.1490697255577286,0.4912113404316699,0.1582124196254589,0.0638337284398096,
hsa-mir-301b-3p,0.2385413027434482,0.2689685924075047,0.2184211185694916,0.0845377577708335,-0.0453783504652212,0.1985589109099625,,0.0153127320859994,0.1617922490556825,-0.0707683422319274,0.0332861775704469,0.0729375394696573,
hsa-mir-135a-5p,0.2084424043063782,0.2171161347802698,0.2418248457385245,0.2203035160622828,0.1402219647130601,0.2454412728602506,-0.0132597111337962,-0.0578184408805753,0.2185586469911661,0.1113255398981408,0.0562952169065892,0.0954429209949123,0.2927039735966201
hsa-mir-378a-3p,0.1509747466634337,0.1860782737068377,0.1424080667123354,0.0613807311803075,0.0504469991365755,0.1605313958330336,,0.1605002354882531,0.1838520716329669,0.1127247112809669,0.1455316314028081,0.0999752662575667,0.171022310012744
