model,model_label,n_targets_ok,n_targets_fail,n_best_outer_val_k1,n_best_unique_outer_val_k1,n_best_outer_val_bulk,n_best_unique_outer_val_bulk,avg_of_medians_K,avg_of_means_K,mean_inner_val_r2,median_inner_val_r2,mean_outer_val_bulk_r2,median_outer_val_bulk_r2,mean_outer_val_k1_r2,median_outer_val_k1_r2,n_targets_k1_gt_0_4,n_exclusive_k1_gt_0_4,elapsed_sec
xgb_default,XGB default,50,0,1,1,0,0,0.6625761328909816,0.6528094723718872,0.7928721521176989,0.8168114783814229,0.724506779879657,0.7899320609382676,0.1597376814273375,0.1310973256045022,13,0,289.8
xgb_optuna,XGB Optuna,50,0,4,4,1,1,0.7196648208916012,0.7131393024833562,0.8221704805834237,0.8421915911497126,0.7656850689385851,0.8287789436718864,0.2513915720098917,0.2049000350674527,15,0,11334.3
catboost_optuna,CatBoost Optuna,50,0,3,3,0,0,0.700872280248857,0.7051841657108423,0.8168223776667696,0.8381499742542262,0.7555964096339707,0.81383726669949,0.259470533591618,0.1779421986895984,14,0,34529.7
dcnv2,DCNv2,50,0,12,12,0,0,0.760153554179619,0.7131644769067012,0.8295998373251875,0.8474680645678416,0.734912945166452,0.807254729760741,0.2601974089723361,0.2923366065820126,16,1,2182.7
realmlp,RealMLP,50,0,5,5,1,1,0.7548688175249153,0.7281919014028341,0.8353883426791223,0.8552433592338627,0.7652385244968669,0.826523897057236,0.2819250729273817,0.2562639240123313,16,1,2415.5
resnet,ResNet,50,0,3,3,0,0,0.7334921462031031,0.7027743110683744,0.8288600591946728,0.8505245824571532,0.7630597406394106,0.8265174851297605,0.2217353396553499,0.193556484665041,14,0,3145.4
tabm,TabM,50,0,8,8,17,17,0.7966317606528998,0.7834661282868232,0.8525648610563323,0.8672807177729704,0.7827864693700443,0.8485949118624425,0.3439559780495555,0.3158737009410658,18,1,12426.5
tabnet,TabNet,9,0,1,1,0,0,0.7456895897663034,0.7220977948627928,0.8582787674147793,0.8562575072384705,0.863584520884904,0.8836100834954067,0.2731734911657718,0.1952460540809197,3,0,2375.4
fttransformer,FT-Transformer,50,0,0,0,1,1,0.6605540430190474,0.6394928943810012,0.8089481999080297,0.835758494654179,0.7580365266281675,0.8222114678811454,0.1606839401229458,0.1734377288534643,14,0,145728.2
gandalf,GANDALF,50,0,1,1,0,0,0.7529242217746736,0.7263938965437468,0.8338963397440334,0.8516630594157231,0.7609487907267882,0.8227437131730033,0.2435935455809902,0.2126937128350628,15,0,4539.9
lassonet,LassoNet,27,23,3,3,0,0,0.5254528434925497,0.4952138386555718,0.7713350022066822,0.7905717294321499,0.729067814838317,0.8008300418445562,0.0255622394545946,0.0622759899550211,2,0,2672.6
tabr,TabR,50,0,0,0,1,1,0.7464078760001446,0.7337854095822255,0.8374359469826886,0.8588703555966128,0.769057063727901,0.8310825951548539,0.2083067339867333,0.167732400181349,12,0,22569.0
tabpack,TabPack,50,0,9,9,29,29,0.8055145250535228,0.7936322726393232,0.8605037066830632,0.8742369814470026,0.7821691049397059,0.8430331093187187,0.3411800481189912,0.316519324027594,17,0,10475.5
