ensemble,n_targets_ok,n_targets_fail,n_fallback_solo,n_best_outer_val_k1,n_best_unique_outer_val_k1,n_best_outer_val_bulk,n_best_unique_outer_val_bulk,mean_tune_r2,median_tune_r2,avg_of_medians_K,avg_of_means_K,mean_outer_val_k1_r2,median_outer_val_k1_r2,mean_outer_val_bulk_r2,median_outer_val_bulk_r2,mean_outer_val_pb_K2_r2,median_outer_val_pb_K2_r2,mean_outer_val_pb_K3_r2,median_outer_val_pb_K3_r2,mean_outer_val_pb_K4_r2,median_outer_val_pb_K4_r2,mean_outer_val_pb_K5_r2,median_outer_val_pb_K5_r2,mean_outer_val_pb_K10_r2,median_outer_val_pb_K10_r2,n_targets_k1_gt_0_4,elapsed_sec
xgb_tabpack_tabm_stack,50,0,2,9,9,1,1,0.837987323123263,0.848758704609494,0.8263140238327894,0.8116305310362212,0.3809540550730867,0.3626656090541833,0.7681177318552177,0.8233682723225948,0.8701813814613405,0.89650765019896,0.9171315618596313,0.9284806251934443,0.930048328977839,0.9391726028198826,0.9202726478755934,0.9299552150973197,0.8511952109698359,0.9011024406329468,23,0.0
tabpack_tabm_stack,50,0,2,6,6,2,2,0.8339216667459642,0.8461914165052655,0.8255986114311881,0.8082496024765838,0.375271792783682,0.3609160688909848,0.768766139464514,0.8300467156479534,0.8641208942526964,0.8964004291196381,0.9137318869916186,0.9266006370111222,0.9281640959856297,0.9393757774129305,0.9191365206925626,0.9304284362774504,0.8490724241533139,0.8998703198750025,22,0.0
tabpack_tabm_avg_uniform,50,0,42,9,0,14,3,0.8287641730227971,0.8353223215443986,0.8214366475546631,0.8063162713743711,0.37565441876045486,0.3584921039184114,0.7774391952319698,0.8388132045596026,0.8603419060197711,0.8879901482589831,0.9094284233671108,0.9241670073221457,0.9268248773637621,0.9349889182334388,0.9165342745258205,0.926202247743779,0.849113728209307,0.8967794598512205,21,0.0
xgb_tabpack_stack,50,0,0,15,15,1,1,0.8357690970136967,0.8365247747155862,0.8237696073554638,0.8102044132947802,0.3847187235392109,0.35816064116515484,0.7678464597902038,0.8337785839454227,0.867782049104272,0.8922607053283926,0.9148496624084536,0.9257436186190395,0.9286586929867064,0.9383885627081989,0.9176662936803303,0.9267528882341736,0.8475510580497081,0.9013112280778238,21,0.0
xgb_tabpack_tabm_blend,50,0,31,10,0,10,0,0.8321008478192807,0.8389931380947951,0.8222865146737579,0.8099501119762876,0.38036408990878356,0.35755578313651437,0.7785717320304772,0.8388132045596026,0.8659299272763914,0.8879901482589831,0.9128016685138839,0.9222987214658998,0.9296729098613116,0.9393701058517803,0.9190588129905471,0.9271288071180177,0.8518732633068082,0.899375522211352,22,0.0
tabpack_tabm_blend,50,0,37,9,0,12,1,0.8289977443988807,0.8373515956679274,0.8208101107843842,0.8064725588695363,0.37593759292688916,0.35755578313651437,0.7778733927967295,0.8388132045596026,0.860351781505305,0.8879901482589831,0.9094996945266387,0.92149259346186,0.9269596196875537,0.9349889182334388,0.9170554347439578,0.9260537617642878,0.8490312298268735,0.8967794598512205,21,0.0
xgb_tabpack_avg_uniform,50,0,45,10,0,8,1,0.830160971686709,0.8314062336764885,0.8198248441239618,0.8072408905727801,0.3801721048899487,0.35150771608448184,0.7762655619637187,0.8388132045596026,0.8642548073483437,0.8907549034067495,0.910380297348173,0.9224523014613308,0.9267292313833876,0.9318295012405189,0.9162229302204551,0.923029120339338,0.8456859722463729,0.899375522211352,21,0.0
xgb_tabpack_blend,50,0,38,12,1,9,0,0.830507578614423,0.8316739094488705,0.8196827418281982,0.8075740367362373,0.38118781368993837,0.35150771608448184,0.7772261745699481,0.8388132045596026,0.8642535456787707,0.8879901482589831,0.9105281961460586,0.9222987214658998,0.9273180979318215,0.9338952226091344,0.9160669742373733,0.923029120339338,0.8460895927334614,0.899375522211352,21,0.0
xgb_tabpack_tabm_avg_uniform,50,0,47,9,0,9,0,0.83112388885941,0.8389931380947951,0.8203055021934138,0.8081674559627864,0.3778703598357478,0.35150771608448184,0.7765377854747836,0.8388132045596026,0.8641505441987721,0.8901950750829399,0.9113201513511187,0.9241670073221457,0.9279642334080573,0.9317929706438572,0.917709274436895,0.9247947218157059,0.8499901725461272,0.899375522211352,21,0.0
xgb_tabm_stack,50,0,0,3,3,8,8,0.8057264464664331,0.82085910185965,0.8022458898192052,0.7932698507955465,0.3519960969561695,0.3194448095694693,0.7720497615578022,0.8400570029306937,0.8414505985084152,0.8557949852028075,0.894996743606248,0.9080550239291267,0.9155034636844117,0.9230566935878228,0.9086235565514932,0.9172815823055066,0.8470486454665414,0.8898422443204985,20,0.0
xgb_tabm_blend,50,0,31,4,2,21,7,0.8020730723654357,0.816188565270187,0.800655584063232,0.7909240927117868,0.3501449629924839,0.3146409717124583,0.7824500775190881,0.8428016319429716,0.8378910327895133,0.8588280352950389,0.8905671162543216,0.9036300264761363,0.9139079805598824,0.9174569407672748,0.9059557690128102,0.916818567250411,0.8470776946617097,0.892558962878073,20,0.0
xgb_tabm_avg_uniform,50,0,41,3,1,14,0,0.8016292378027177,0.816188565270187,0.8009196530952153,0.7899245293343617,0.34734966147237023,0.3134644692754456,0.7820573498438053,0.8435499719721673,0.8365291005134782,0.8591940569780914,0.8905565999006133,0.9036300264761363,0.9137466719320845,0.9179670243807453,0.9056497020292004,0.9170066942937807,0.8457154401584239,0.8942556471670928,19,0.0
