ensemble,n_targets_ok,n_targets_fail,n_fallback_solo,n_best_outer_val_k1,n_best_unique_outer_val_k1,n_best_outer_val_bulk,n_best_unique_outer_val_bulk,mean_tune_r2,median_tune_r2,avg_of_medians_K,avg_of_means_K,mean_outer_val_k1_r2,median_outer_val_k1_r2,mean_outer_val_bulk_r2,median_outer_val_bulk_r2,mean_outer_val_pb_K2_r2,median_outer_val_pb_K2_r2,mean_outer_val_pb_K3_r2,median_outer_val_pb_K3_r2,mean_outer_val_pb_K4_r2,median_outer_val_pb_K4_r2,mean_outer_val_pb_K5_r2,median_outer_val_pb_K5_r2,mean_outer_val_pb_K10_r2,median_outer_val_pb_K10_r2,n_targets_k1_gt_0_4,elapsed_sec
tabpack_dcnv2_tabm_stack,50,0,1,9,9,3,3,0.8381784476481039,0.8471577931918435,0.8314830788345313,0.811742237896855,0.3918154448241824,0.3938091874968009,0.7673851351716443,0.8273887968054814,0.8646766611127442,0.8984382859975107,0.9142268380122549,0.9269041672525093,0.9276406365386234,0.9388386695757576,0.9196968041691378,0.9312185950950811,0.8523970427241878,0.8996895675895276,25,172.1
xgb_tabpack_dcnv2_stack,50,0,0,6,6,0,0,0.8397619205686822,0.8438182504489138,0.8304525867466266,0.8145939706394644,0.39961438448426323,0.3905058207774267,0.7692261937565371,0.8336667199065578,0.8708808370924443,0.897221574330645,0.9166906221613974,0.9264195495096672,0.929042841942329,0.9386408978686895,0.9199002969295675,0.9282041851822588,0.8514348412267847,0.9017234928110724,24,76.1
xgb_dcnv2_tabm_stack,50,0,1,1,1,0,0,0.8179785856355507,0.8312622558308993,0.8164894363174372,0.800929920232038,0.3777473762274144,0.3737157437828303,0.7672341485750173,0.8374976400722143,0.8520086458033888,0.8774380116007575,0.8997549869499271,0.9138868474085877,0.9160036374596078,0.9217241589515548,0.9097049229495741,0.921160655664067,0.8503599520023158,0.891011200496826,21,192.7
tabpack_dcnv2_tabm_blend,50,0,11,2,0,10,1,0.8321453403264052,0.8373515956679274,0.8252465499491067,0.8100796733559447,0.3894648400287471,0.3732268576682286,0.7793834546479356,0.839206557206906,0.8634295080839505,0.8950854721056013,0.9105582349063444,0.9219552617755733,0.9272530425602268,0.938552754512554,0.9179117902826504,0.9256423539254628,0.8518606242737482,0.8970165997072206,23,160.0
tabpack_dcnv2_stack,50,0,0,4,4,1,1,0.8345476970990022,0.8403028837655451,0.8265184357238824,0.809947682820252,0.3919334650509117,0.3716995116723478,0.7668356642075358,0.8287563455645368,0.8643844786638529,0.8992101516641884,0.9114501788651015,0.924756042784719,0.925907445890784,0.9371130754050281,0.9178087579780886,0.9274306439046046,0.848201770472773,0.8989011889124059,23,55.0
xgb_tabpack_dcnv2_blend,50,0,9,2,0,7,1,0.8339052555882895,0.8336424364469246,0.8245709752566087,0.8116917507774003,0.39408610282911033,0.36828874491067476,0.7784893592555757,0.839206557206906,0.8688480784197687,0.8953876615886852,0.9121935217556779,0.922761389779613,0.9276620862068258,0.936076199399074,0.9177628923550278,0.9255954539772574,0.8495978230979907,0.8993164018843474,24,66.7
tabpack_dcnv2_avg_uniform,50,0,37,1,1,4,0,0.8281083897847347,0.8336424364469246,0.8211693368430092,0.8047063153933363,0.3804039167784301,0.363745378501632,0.7766413578959941,0.8388132045596026,0.8595756706468959,0.8899957742806236,0.9068990119004545,0.920254490124648,0.9235203270030787,0.9323191409156276,0.913559168006166,0.9239217773843029,0.8442797980249921,0.8967794598512205,22,43.6
xgb_dcnv2_tabm_blend,50,0,5,0,0,8,1,0.8138184719172107,0.82490430083551,0.812624905511047,0.7981183260402002,0.371470031872113,0.3631835508229333,0.7770626730025592,0.8421115490641415,0.8497696966503787,0.8748004659996595,0.8957778045868773,0.9090476573405117,0.9143663008108069,0.9188418276353401,0.9072706173603976,0.9184626086237926,0.8500555049606269,0.8914133226440452,20,193.2
dcnv2_tabm_blend,50,0,6,0,0,7,0,0.8067108014254398,0.8181054460973676,0.8064590691277873,0.7901868412750316,0.36527426386757683,0.3631835508229333,0.7771303333056849,0.8456339894360593,0.8342915745663919,0.8710192066930398,0.8887816482824019,0.9009934826964177,0.9072284627418188,0.9176481753068755,0.9012470468373699,0.9008337719879351,0.8442980513546303,0.8850762272595217,19,157.4
tabpack_dcnv2_blend,50,0,13,2,0,6,0,0.8296855884379436,0.8336424364469246,0.8229131909860704,0.8074555726243892,0.3872105846041295,0.36315377094582735,0.778555455147091,0.839206557206906,0.8620058996710425,0.8950854721056013,0.9083593574256524,0.9210354343853404,0.9251607512377079,0.9355924147951756,0.9154880074759242,0.9255954539772574,0.8465088353318783,0.8970165997072206,23,43.4
