target,metric,best_value,n_tied,best_models,best_model_sole
hsa-mir-1180-3p,outer_val_bulk_r2,0.9090097996960972,1,tabpack,tabpack
hsa-mir-1185-1-3p,outer_val_bulk_r2,0.9046223119643848,1,tabm,tabm
hsa-mir-124-3p,outer_val_bulk_r2,0.8813992616422698,1,tabpack,tabpack
hsa-mir-125a-3p,outer_val_bulk_r2,0.7870292021081046,1,tabpack,tabpack
hsa-mir-125a-5p,outer_val_bulk_r2,0.8157795379680366,1,tabpack,tabpack
hsa-mir-129-1-3p,outer_val_bulk_r2,0.9012248073216956,1,tabpack,tabpack
hsa-mir-135a-5p,outer_val_bulk_r2,0.8775490236722557,1,tabpack,tabpack
hsa-mir-138-5p,outer_val_bulk_r2,0.908877035530036,1,tabpack,tabpack
hsa-mir-142-3p,outer_val_bulk_r2,0.9256616260781636,1,tabpack,tabpack
hsa-mir-15a-3p,outer_val_bulk_r2,0.4577903870667144,1,tabpack,tabpack
hsa-mir-18a-5p,outer_val_bulk_r2,0.9366322553884506,1,tabpack,tabpack
hsa-mir-200c-3p,outer_val_bulk_r2,0.8908560883230074,1,tabpack,tabpack
hsa-mir-20a-5p,outer_val_bulk_r2,0.7668456365342168,1,tabpack,tabpack
hsa-mir-22-3p,outer_val_bulk_r2,0.8599298268208849,1,tabm,tabm
hsa-mir-22-5p,outer_val_bulk_r2,0.913081718257339,1,tabpack,tabpack
hsa-mir-25-3p,outer_val_bulk_r2,0.7775206685564102,1,xgb_optuna,xgb_optuna
hsa-mir-26a-5p,outer_val_bulk_r2,0.8537496177859781,1,tabpack,tabpack
hsa-mir-27a-5p,outer_val_bulk_r2,0.8419613236135578,1,tabpack,tabpack
hsa-mir-299-5p,outer_val_bulk_r2,0.774484092933961,1,tabm,tabm
hsa-mir-301a-5p,outer_val_bulk_r2,0.6425684894673304,1,tabm,tabm
hsa-mir-301b-3p,outer_val_bulk_r2,0.6539983347785705,1,tabpack,tabpack
hsa-mir-301b-5p,outer_val_bulk_r2,0.5356543476167479,1,tabm,tabm
hsa-mir-3180-3p,outer_val_bulk_r2,0.7981546058293417,1,realmlp,realmlp
hsa-mir-326,outer_val_bulk_r2,0.8206773645389291,1,tabpack,tabpack
hsa-mir-340-3p,outer_val_bulk_r2,0.8976346837092962,1,tabpack,tabpack
hsa-mir-363-3p,outer_val_bulk_r2,0.8836161406246923,1,tabpack,tabpack
hsa-mir-369-3p,outer_val_bulk_r2,0.8984530585620967,1,tabm,tabm
hsa-mir-374a-3p,outer_val_bulk_r2,0.9054233229475892,1,tabpack,tabpack
hsa-mir-378a-3p,outer_val_bulk_r2,0.8578274197604372,1,tabpack,tabpack
hsa-mir-382-5p,outer_val_bulk_r2,0.862304367045231,1,tabm,tabm
hsa-mir-3934-5p,outer_val_bulk_r2,0.6692061551450735,1,tabpack,tabpack
hsa-mir-411-5p,outer_val_bulk_r2,0.9187609987187096,1,tabr,tabr
hsa-mir-423-5p,outer_val_bulk_r2,0.8659737356062259,1,tabpack,tabpack
hsa-mir-449a,outer_val_bulk_r2,0.8306011248076408,1,tabm,tabm
hsa-mir-4731-3p,outer_val_bulk_r2,0.1736568888038406,1,fttransformer,fttransformer
hsa-mir-486-5p,outer_val_bulk_r2,0.9412680099056706,1,tabm,tabm
hsa-mir-487a-3p,outer_val_bulk_r2,0.9120377043030816,1,tabpack,tabpack
hsa-mir-495-3p,outer_val_bulk_r2,0.9160885014883302,1,tabpack,tabpack
hsa-mir-503-3p,outer_val_bulk_r2,0.6189944592074004,1,tabpack,tabpack
hsa-mir-532-3p,outer_val_bulk_r2,0.7299780838191596,1,tabm,tabm
hsa-mir-556-3p,outer_val_bulk_r2,0.5255016351605974,1,tabpack,tabpack
hsa-mir-582-5p,outer_val_bulk_r2,0.7376336885191976,1,tabpack,tabpack
hsa-mir-590-5p,outer_val_bulk_r2,0.9105879110970236,1,tabm,tabm
hsa-mir-592,outer_val_bulk_r2,0.8279963628117237,1,tabm,tabm
hsa-mir-616-3p,outer_val_bulk_r2,0.5436950614646762,1,tabm,tabm
hsa-mir-624-3p,outer_val_bulk_r2,0.2050406766481605,1,tabm,tabm
hsa-mir-642a-5p,outer_val_bulk_r2,0.6454146424540568,1,tabpack,tabpack
hsa-mir-708-5p,outer_val_bulk_r2,0.8497571759797005,1,tabm,tabm
hsa-mir-887-3p,outer_val_bulk_r2,0.8520809421759283,1,tabm,tabm
hsa-mir-99b-3p,outer_val_bulk_r2,0.8313894890237231,1,tabm,tabm
