model_label,mean_inner_val_r2,median_inner_val_r2,mean_outer_val_bulk_r2,median_outer_val_bulk_r2,mean_outer_val_k1_r2,median_outer_val_k1_r2,mean_outer_val_pb_K2_r2,median_outer_val_pb_K2_r2,mean_outer_val_pb_K3_r2,median_outer_val_pb_K3_r2,mean_outer_val_pb_K4_r2,median_outer_val_pb_K4_r2,mean_outer_val_pb_K5_r2,median_outer_val_pb_K5_r2,mean_outer_val_pb_K10_r2,median_outer_val_pb_K10_r2
XGB default,0.7928721521176989,0.8168114783814229,0.724506779879657,0.7899320609382676,0.1597376814273375,0.1310973256045022,0.6858910327087865,0.7136074539480025,0.7609068039685002,0.7506280060879729,0.7915769861826734,0.798832081168507,0.7847894422053779,0.788134315226346,0.7339548877386484,0.7931576153105591
XGB Optuna,0.8221704805834237,0.8421915911497126,0.7656850689385851,0.8287789436718864,0.2513915720098917,0.2049000350674527,0.75929203265421,0.7806231706991835,0.8144691965025621,0.7978936781529106,0.8417252851032504,0.8578353276303659,0.8249995699299738,0.831392889193863,0.7869581587002492,0.8453438246058317
CatBoost Optuna,0.8168223776667696,0.8381499742542262,0.7555964096339707,0.81383726669949,0.259470533591618,0.1779421986895984,0.7531680815518635,0.762713947801499,0.8020323030218651,0.7895932833573525,0.8291786936214279,0.8274318339041626,0.8135369195785819,0.806879783541453,0.7737184628996969,0.8406726341990765
DCNv2,0.8295998373251875,0.8474680645678416,0.734912945166452,0.807254729760741,0.2601974089723361,0.2923366065820126,0.715189794736083,0.8091872258108366,0.8287149602141196,0.8722054450444958,0.8483976242579213,0.8913207826899311,0.8437627817157767,0.8629689902477932,0.78272429154397,0.8329022747026451
RealMLP,0.8353883426791223,0.8552433592338627,0.7652385244968669,0.826523897057236,0.2819250729273817,0.2562639240123313,0.7977062817395175,0.8218333415355831,0.8423655470366156,0.8540206964820467,0.8343812708587032,0.8867262139904935,0.8436244304027022,0.8699978151727582,0.7691488054520846,0.8403709139562787
ResNet,0.8288600591946728,0.8505245824571532,0.7630597406394106,0.8265174851297605,0.2217353396553499,0.193556484665041,0.7528697776933059,0.7964918041365113,0.8235609575226848,0.8396045450641209,0.8456847126848505,0.8784947352137993,0.8292566176849605,0.8463498312597085,0.7435384611690948,0.8464554768794381
TabM,0.8525648610563323,0.8672807177729704,0.7827864693700443,0.8485949118624425,0.3439559780495555,0.3158737009410658,0.8247177811258336,0.8591940569780914,0.883921027495295,0.8964878392095157,0.9070212804567253,0.9165706827242124,0.9000324620269116,0.9016414000636832,0.8411482405666181,0.8900228840008297
TabNet,0.8582787674147793,0.8562575072384705,0.863584520884904,0.8836100834954067,0.2731734911657718,0.1952460540809197,0.7849367780866694,0.8254880285426486,0.8634203022423711,0.944498609411296,0.8349035029305074,0.8179734219731463,0.8253841963450769,0.8876083365799154,0.7507684984063602,0.8033230880098943
FT-Transformer,0.8089481999080297,0.835758494654179,0.7580365266281675,0.8222114678811454,0.1606839401229458,0.1734377288534643,0.6515905895525933,0.6708226562948293,0.7579714437637632,0.7633459875669255,0.7797848856595135,0.7861486519860403,0.7622390795084506,0.765847283218875,0.724687427678741,0.8037219501941504
GANDALF,0.8338963397440334,0.8516630594157231,0.7609487907267882,0.8227437131730033,0.2435935455809902,0.2126937128350628,0.7953755062913713,0.8217792211980561,0.8400400116632573,0.8601684093217385,0.8536049018505029,0.8866910203959932,0.845820429119685,0.87550422677057,0.7799289847566742,0.8607087401266209
LassoNet,0.7713350022066822,0.7905717294321499,0.729067814838317,0.8008300418445562,0.0255622394545946,0.0622759899550211,0.4490247582704538,0.4529492183480078,0.6015840689328935,0.6182970285281439,0.6342153916635579,0.6941902858640514,0.6528627603536071,0.6829477965750612,0.6080338132583237,0.6420567416850125
TabR,0.8374359469826886,0.8588703555966128,0.769057063727901,0.8310825951548539,0.2083067339867333,0.167732400181349,0.7975859886695283,0.8314672811377234,0.8631049013747539,0.8820101554126601,0.8810276307013438,0.8834425896739959,0.8705947425357832,0.8867422455210533,0.7820924602252103,0.8270525840740862
TabPack,0.8605037066830632,0.8742369814470026,0.7821691049397059,0.8430331093187187,0.3411800481189912,0.316519324027594,0.8469114228774886,0.8644005591383834,0.899481281922379,0.9109454307515036,0.9206461410304568,0.9302373727179992,0.912463095489968,0.9251463165537648,0.8411116463966554,0.8858381471318921
