target,xgb_optuna,catboost_optuna,tabm,fttransformer,resnet,gandalf,realmlp,xgb_default,tabnet,lassonet,dcnv2
hsa-mir-363-3p,-0.5284675698080954,-0.9457233036249396,-0.4212041609959742,-3.066313400648178,-0.2199059783667534,-0.5223178306020939,-0.6386399628779253,-1.2687800477331308,-0.678605011908409,-1.4944138028900222,-1.1403550239665887
hsa-mir-326,-0.1517915396622708,-0.1010695192647483,-0.061786561440156,-0.0069148715967035,-0.0392663731134148,-0.0918889353035623,-0.019870579903839,-0.5223687850248013,-0.051996319849489,-0.1030138701421063,-0.058037587129347
hsa-mir-301a-5p,-0.2731673938254197,-0.1156881100569908,-0.0270739177600989,-0.044579539560362,-0.1098685621491279,-0.0640423996989638,-0.108544949710331,-0.4780867040177687,-0.1766392479904475,-0.1547602004838317,-0.1908193921360481
hsa-mir-616-3p,-0.1823159278624033,-0.052550122991815,-0.0202995530303828,-0.0450990761133389,-0.0535491737698368,-0.0640394078232424,-0.0291686847468866,-0.4087372365116888,-0.0177703085637965,-0.0636358202277604,-0.078588002648656
hsa-mir-411-5p,0.0648192937397468,-0.0549104226813508,0.0164619283627479,-0.4672345609393231,-0.2633960823268246,-0.0977553575438774,-0.0617603083251219,-0.1809726275436927,-0.0531698812652265,-0.1248815614405758,-0.1715492236603355
hsa-mir-129-1-3p,-0.0666446063490466,-0.0324769708865011,0.0015697539518518,-0.0106348236420736,-0.0007469685301126,-0.0098818110769447,-0.0060920582092311,-0.1798063502377627,-0.0034541485939303,-0.0087679500637587,-0.0329419811148044
hsa-mir-99b-3p,-0.0520143077058334,-0.0488113338745537,-0.0343553949985675,-0.0150967733685154,-0.0092624785248156,-0.0377954992094344,-0.0641367076632251,-0.1349812596103281,-0.0418434744048346,-0.0699160012592312,-0.1195843401298804
hsa-mir-3934-5p,-0.0481244604812105,-0.0491639583654952,-0.0287015142176085,0.0059366542191673,-0.0343510655870653,-0.0219709928930105,-0.0092753563581455,-0.134417465616196,-0.001293025474051,-0.0291916078341638,-0.0080691859431933
hsa-mir-200c-3p,0.0084206685508132,0.0098275961579288,-0.013736938210541,-0.0040183541739524,-0.0493433876141733,-0.0552058232284176,-0.028686839071671,-0.1257340603457062,-0.0760361813352499,-0.0093563486337895,-0.0836591958932433
hsa-mir-449a,-0.0494004084795574,-0.030941710144944,-0.0093612432958567,-0.0098933457616356,-0.0159243462119134,-0.0027436711366453,0.009148682559732,-0.096594515269369,-0.0364962301161546,-0.0565170360566795,-0.0241629460708803
hsa-mir-374a-3p,-0.0344801308574869,0.0261002552135486,-0.0687559074528545,-0.0345444372033185,-0.0566753965941406,-0.0533444047073239,-0.031493247224356,-0.0957949328338905,-0.1421847271787917,,-0.1532926799638705
hsa-mir-125a-3p,-0.0950479977792777,-0.0334007562206999,-0.0245124976947743,0.0053945720646506,-0.0241933057813528,-0.023866052107796,-0.0529763594649468,-0.0927685370717366,-0.0171249358894769,-0.0796442674592916,-0.1121987241393684
hsa-mir-887-3p,0.0916790172534858,0.0932789012966384,0.0835116971390975,0.0541732829089186,0.1190662280874124,0.1421245222303475,0.0567476766808994,-0.0897216478538212,0.0307839656914636,,0.0804448700126782
hsa-mir-624-3p,-0.0188795777295902,-0.0723822701309235,0.0007404403230417,-0.0008025191419938,-0.0162160164024958,-0.0681824975319955,-0.0296396816780668,-0.0815422366213356,-0.0687038015991243,-0.0631773874537049,-0.1324885669222872
hsa-mir-4731-3p,0.0031516158140391,0.0066140974127057,0.0073224321164512,-0.0294636572249498,0.0149968436674056,0.0190403262180238,0.0011874073980754,-0.0588455042213935,-0.030849740820418,-0.0179154330738851,0.0025020603804375
hsa-mir-503-3p,0.0121687211519838,0.0355964142038428,-0.0018417799783885,-0.0382602339100026,0.0150560338930731,0.0131544944597444,0.0101136337288166,-0.0584108000243839,-0.0153204922553134,-0.0051213844190276,-0.029825512862309
hsa-mir-340-3p,0.0680675211058242,0.1128952498042923,0.0678888170258673,-0.0166629949843861,0.0180585382341639,0.0357667490789485,0.0037721041793031,-0.0461204023204651,0.0526130788972687,0.0224134554039099,-0.1380553873344088
hsa-mir-124-3p,0.0721580026831183,-0.0035848503028848,0.0696533793760064,0.0987530007038633,-0.0975586426945271,-0.0445796522069494,-0.0868409145448336,-0.0217639408908874,-0.0284623740408036,0.0967492192098541,-0.1190044644470862
hsa-mir-556-3p,0.0977582436332021,0.1547343994106664,0.0822202204123284,0.0124203463803169,0.0306621299260411,0.1043289077411949,0.095355259258048,-0.0152035415652067,0.0882341929297636,0.0899007352393642,-0.0479156622525522
hsa-mir-15a-3p,0.0004468270015145,-0.0089890200192459,-0.0074053890255667,-0.0034017514653064,-0.0035610287956506,-0.0043887105142077,-0.0115546694046639,-0.0025273962166338,0.0017645450926818,-0.0102759092113526,-0.0006205981404114
hsa-mir-1180-3p,0.1743496056948308,0.210092679152517,0.1626455798531559,0.1189849834049413,0.1037118240675187,0.0642281890950258,0.1080859457740961,0.0238221467317426,-0.1656555244296602,0.1708965694708738,0.1447561587801095
hsa-mir-301b-3p,0.134014008812385,0.133103139554675,0.1112590323120964,0.1032410233415704,0.0852795240210702,0.0668337921505823,0.1177544304126765,0.0272365005668691,0.036612177757321,0.1225940087568198,0.0959398957288643
hsa-mir-378a-3p,0.1547357323830495,0.1444742964325247,0.1478607204584213,0.161015377555873,0.1633340191743671,0.1826005530716242,0.1169553405635831,0.0412765702801414,0.1252264687400116,0.1467230585471267,0.1392681788174496
hsa-mir-592,0.0647220847987638,0.0671871565914685,0.1846682747146308,0.2123573236352105,0.0093260313950644,0.0099760782726514,0.0825168630892438,0.0432455840313623,0.160132607428429,0.1430056457804127,-0.0238740121048206
hsa-mir-1185-1-3p,0.0911107231893948,0.1354936181221359,0.0734738688776053,0.1309917169535027,0.0308797042460128,0.0475897999870753,-0.0259823254740041,0.0610715817815638,-0.0322015123383849,,0.0323849234775485
hsa-mir-301b-5p,0.0709171359635487,0.1180917058852977,0.0556705421767892,0.0410833091497758,0.0531906315543139,-0.0635477939334865,0.0368004921830673,0.0648143272284832,0.0208010627259485,-0.07693799464011,-0.0779344068000182
hsa-mir-590-5p,0.1603778536188833,0.0883507158404829,0.0842765807082615,-0.1648562339563029,-0.0237557846703608,0.1061840385897564,-0.0049683430083216,0.0653703957014949,0.0494909862379541,,-0.0247593742845195
hsa-mir-135a-5p,0.2114210024762737,0.1784004042579948,0.1790052303749957,0.1379029543780923,0.1489053401705479,0.130681778226038,0.1273817059894533,0.1093380048883512,0.0142999483731279,0.1687403892762828,-0.0015966065548305
hsa-mir-382-5p,0.164638052709637,0.1441257871738854,0.1221724203481697,0.1906048875412993,-0.1423515869401994,-0.0888588680757695,0.055348463304217,0.1134244593797977,0.0264674813819429,0.1409396310213897,0.0381718338597275
hsa-mir-487a-3p,0.1816972186053488,0.1901087151591567,0.1616352627153278,0.247825891607639,0.1182702685211425,0.0847816770774679,0.0713897474682341,0.1385616270011028,0.0071932482693186,0.1656116403973112,-0.0121617635505322
hsa-mir-532-3p,0.2558717117151946,0.2627967907735852,0.2059633294019354,0.0885644350281584,0.1692507903908841,0.2516905964309944,0.2126293109221411,0.1522686533464812,0.0997736460989107,,0.2455193639871854
hsa-mir-27a-5p,0.2400793892897736,0.2359016023493919,0.2145966093934044,0.151456154355319,0.1821092235841444,0.099328384600004,0.1939028790603018,0.1611907831727711,0.1571565853088741,,0.1760985872146862
hsa-mir-125a-5p,0.2505490790290462,0.2791538575465613,0.2730659990338714,0.228551918265255,0.2197880260181516,0.2457431925084555,0.2579951598591689,0.2015708671857513,0.2062424081816437,-0.0526647581190007,0.1173369924809563
hsa-mir-642a-5p,0.2957164796974865,0.3161163937704694,0.2860590233620126,0.279306532132289,0.3112151654356864,0.2816777245555547,0.2912188487396693,0.2151889556488552,0.3061333675125208,0.3166944263372593,0.2881846734616144
hsa-mir-22-5p,0.3504582389417042,0.3417834209626774,0.2995516144931091,0.2854709926683689,0.3001145867787534,0.2743884707793433,0.3014726690798373,0.2738421578518458,0.2737175865679649,0.3284879243388027,0.3190693699996549
hsa-mir-299-5p,0.4225937783750482,0.4478143517491527,0.4141069642953939,0.3460084212535781,0.413084808571859,0.3933504125750372,0.3525624473652935,0.3724301874209803,0.3209765587561388,,0.408687351573479
hsa-mir-22-3p,0.4354206856625121,0.4428127399606969,0.3781281245314279,0.3919888720058727,0.4287670829952927,0.4159814776569992,0.355139101975096,0.3758668262822213,0.3708144738971016,,0.4021572212917342
