model,model_label,n_targets_ok,n_targets_fail,mean_inner_val_r2,median_inner_val_r2,mean_outer_val_bulk_r2,median_outer_val_bulk_r2,mean_outer_val_k1_r2,median_outer_val_k1_r2,n_targets_k1_gt_0_4,n_exclusive_k1_gt_0_4,elapsed_sec
xgb_default,XGB default,50,0,0.6818019562812723,0.7467061896419427,0.7091054506054185,0.79157182580994,0.1283743855606205,0.0629429545050234,12,0,62.7
xgb_optuna,XGB Optuna,50,0,0.7054748656101087,0.7691346526952122,0.7468791217090842,0.8107420422409601,0.2207580431554257,0.1575567930009664,15,0,4885.3
catboost_optuna,CatBoost Optuna,50,0,0.7038928329393205,0.7635982820880794,0.743895629504435,0.8103877697015306,0.2215344502060721,0.144300041803205,15,0,13782.3
dcnv2,DCNv2,50,0,0.6983092285102477,0.7608579411565874,0.7450343394605221,0.805882274456343,0.1173828132079902,0.000940731120013,12,0,1627.7
realmlp,RealMLP,50,0,0.7115425118008357,0.7726211810101213,0.7663535892131893,0.8206405143211801,0.1937025884347304,0.0889360611736459,11,0,1763.6
resnet,ResNet,50,0,0.7086769975493746,0.7696988992584005,0.7585704600601774,0.8207121122035583,0.194066691152308,0.0944956740442944,14,0,2769.2
tabm,TabM,50,0,0.7164407797810464,0.7767691133948547,0.7731783334608854,0.8382217330784414,0.226288410652046,0.1350165704032955,13,0,4926.0
tabnet,TabNet,50,0,0.707485148196306,0.7678813918730834,0.7577417321033701,0.8269585864641609,0.1628363105642856,0.0430515819976375,10,0,10051.7
fttransformer,FT-Transformer,50,0,0.7098562823088582,0.7687781827572407,0.7565598644829084,0.8147214545750816,0.1467260136291006,0.124988350179222,12,0,101060.3
gandalf,GANDALF,50,0,0.7101089040857715,0.7701007048936588,0.7647087822649684,0.8279914674579558,0.1935485912523246,0.0920550308387359,13,0,5666.8
lassonet,LassoNet,36,14,0.6639682412079323,0.7487603835634855,0.726042834152663,0.798898748481561,0.0606235164633799,0.0086460354924411,4,0,2478.5
