target,metric,best_value,n_tied,best_models,best_model_sole
hsa-mir-1180-3p,outer_val_bulk_r2,0.9083703051510592,1,tabpack,tabpack
hsa-mir-1185-1-3p,outer_val_bulk_r2,0.9051964813741796,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-124-3p,outer_val_bulk_r2,0.8809190760100775,1,tabm_muon,tabm_muon
hsa-mir-125a-3p,outer_val_bulk_r2,0.7828880807911177,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-125a-5p,outer_val_bulk_r2,0.8178969684012841,1,tabpack,tabpack
hsa-mir-129-1-3p,outer_val_bulk_r2,0.8966438140877364,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-135a-5p,outer_val_bulk_r2,0.8778284886384408,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-138-5p,outer_val_bulk_r2,0.906763639902578,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-142-3p,outer_val_bulk_r2,0.9241807440906596,1,tabpack,tabpack
hsa-mir-15a-3p,outer_val_bulk_r2,0.4589659295537288,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-18a-5p,outer_val_bulk_r2,0.9377601821446504,1,tabpack,tabpack
hsa-mir-200c-3p,outer_val_bulk_r2,0.888768568515993,1,tabpack,tabpack
hsa-mir-20a-5p,outer_val_bulk_r2,0.7680153034620288,1,tabpack,tabpack
hsa-mir-22-3p,outer_val_bulk_r2,0.8602987804346841,1,tabpack,tabpack
hsa-mir-22-5p,outer_val_bulk_r2,0.9080323265305044,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-25-3p,outer_val_bulk_r2,0.7817761809024281,1,tabpack,tabpack
hsa-mir-26a-5p,outer_val_bulk_r2,0.8475918091282734,1,tabpack,tabpack
hsa-mir-27a-5p,outer_val_bulk_r2,0.8399631358138497,1,tabpack,tabpack
hsa-mir-299-5p,outer_val_bulk_r2,0.7711082298181774,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-301a-5p,outer_val_bulk_r2,0.6422104584825747,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-301b-3p,outer_val_bulk_r2,0.6477089016570209,1,tabpack,tabpack
hsa-mir-301b-5p,outer_val_bulk_r2,0.5336622063530381,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-3180-3p,outer_val_bulk_r2,0.7960167653534379,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-326,outer_val_bulk_r2,0.8220266476697462,1,tabpack,tabpack
hsa-mir-340-3p,outer_val_bulk_r2,0.8933527597882228,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-363-3p,outer_val_bulk_r2,0.8857632843232058,1,tabpack,tabpack
hsa-mir-369-3p,outer_val_bulk_r2,0.8963035699205669,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-374a-3p,outer_val_bulk_r2,0.9072023572632824,1,tabpack,tabpack
hsa-mir-378a-3p,outer_val_bulk_r2,0.8572181261925169,1,tabpack,tabpack
hsa-mir-382-5p,outer_val_bulk_r2,0.8592741910231229,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-3934-5p,outer_val_bulk_r2,0.6700740926525003,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-411-5p,outer_val_bulk_r2,0.9181027095193988,1,tabpack,tabpack
hsa-mir-423-5p,outer_val_bulk_r2,0.8604422335350677,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-449a,outer_val_bulk_r2,0.8298808402830622,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-4731-3p,outer_val_bulk_r2,0.1848982607963042,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-486-5p,outer_val_bulk_r2,0.9414317823749224,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-487a-3p,outer_val_bulk_r2,0.9111744039688128,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-495-3p,outer_val_bulk_r2,0.9168302617629946,1,tabpack,tabpack
hsa-mir-503-3p,outer_val_bulk_r2,0.6157890631263266,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-532-3p,outer_val_bulk_r2,0.7313672250209546,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-556-3p,outer_val_bulk_r2,0.527024698218675,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-582-5p,outer_val_bulk_r2,0.7369587747675104,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-590-5p,outer_val_bulk_r2,0.9109036264635038,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-592,outer_val_bulk_r2,0.8271828113196902,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-616-3p,outer_val_bulk_r2,0.5464885373209563,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-624-3p,outer_val_bulk_r2,0.2108055573486738,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-642a-5p,outer_val_bulk_r2,0.6433049141335458,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-708-5p,outer_val_bulk_r2,0.8453504694093256,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-887-3p,outer_val_bulk_r2,0.8494051370359383,1,tabm_adamw_ema,tabm_adamw_ema
hsa-mir-99b-3p,outer_val_bulk_r2,0.830492565371164,1,tabm_adamw_ema,tabm_adamw_ema
