target,metric,best_value,n_tied,best_models,best_model_sole,best_model_labels
hsa-mir-1180-3p,outer_val_k1_r2,0.2371070744246599,1,tabm_muon,tabm_muon,TabM Muon
hsa-mir-1185-1-3p,outer_val_k1_r2,0.5993031052148252,1,tabpack,tabpack,TabPack Muon
hsa-mir-124-3p,outer_val_k1_r2,0.3407659367125574,1,tabpack,tabpack,TabPack Muon
hsa-mir-125a-3p,outer_val_k1_r2,0.329950316056574,1,tabpack,tabpack,TabPack Muon
hsa-mir-125a-5p,outer_val_k1_r2,0.2885721113623631,1,xgb_optuna,xgb_optuna,XGB Optuna
hsa-mir-129-1-3p,outer_val_k1_r2,0.2205222681646234,1,tabpack,tabpack,TabPack Muon
hsa-mir-135a-5p,outer_val_k1_r2,0.2454412728602506,1,xgb_optuna,xgb_optuna,XGB Optuna
hsa-mir-138-5p,outer_val_k1_r2,0.6851816375182572,1,tabpack,tabpack,TabPack Muon
hsa-mir-142-3p,outer_val_k1_r2,0.9058241917398988,1,tabpack,tabpack,TabPack Muon
hsa-mir-15a-3p,outer_val_k1_r2,0.3051257386423861,1,dcnv2_muon,dcnv2_muon,DCNv2 Muon
hsa-mir-18a-5p,outer_val_k1_r2,0.7016501439196163,1,tabpack,tabpack,TabPack Muon
hsa-mir-200c-3p,outer_val_k1_r2,0.0627854569024148,1,xgb_optuna,xgb_optuna,XGB Optuna
hsa-mir-20a-5p,outer_val_k1_r2,0.951327235277133,1,xgb_optuna,xgb_optuna,XGB Optuna
hsa-mir-22-3p,outer_val_k1_r2,0.5510119763399177,1,tabpack,tabpack,TabPack Muon
hsa-mir-22-5p,outer_val_k1_r2,0.4072490734530488,1,tabpack,tabpack,TabPack Muon
hsa-mir-25-3p,outer_val_k1_r2,0.5409323542813502,1,tabpack,tabpack,TabPack Muon
hsa-mir-26a-5p,outer_val_k1_r2,0.6573460857828466,1,xgb_optuna,xgb_optuna,XGB Optuna
hsa-mir-27a-5p,outer_val_k1_r2,0.4276502136435448,1,tabpack,tabpack,TabPack Muon
hsa-mir-299-5p,outer_val_k1_r2,0.5266375870970128,1,tabpack,tabpack,TabPack Muon
hsa-mir-301a-5p,outer_val_k1_r2,0.2239364168247539,1,tabpack,tabpack,TabPack Muon
hsa-mir-301b-3p,outer_val_k1_r2,0.2871521594453761,1,dcnv2_muon,dcnv2_muon,DCNv2 Muon
hsa-mir-301b-5p,outer_val_k1_r2,0.4776912583906041,1,tabm_adamw_ema,tabm_adamw_ema,TabM AdamW+EMA
hsa-mir-3180-3p,outer_val_k1_r2,0.5009745242716783,1,dcnv2_muon,dcnv2_muon,DCNv2 Muon
hsa-mir-326,outer_val_k1_r2,0.3718527540555053,1,dcnv2_muon,dcnv2_muon,DCNv2 Muon
hsa-mir-340-3p,outer_val_k1_r2,0.3297918412451898,1,tabpack,tabpack,TabPack Muon
hsa-mir-363-3p,outer_val_k1_r2,-0.8100978809526898,1,tabm_adamw_ema,tabm_adamw_ema,TabM AdamW+EMA
hsa-mir-369-3p,outer_val_k1_r2,0.7524833076301223,1,tabpack,tabpack,TabPack Muon
hsa-mir-374a-3p,outer_val_k1_r2,0.7168415783284793,1,tabpack,tabpack,TabPack Muon
hsa-mir-378a-3p,outer_val_k1_r2,0.2025970216738224,1,tabpack,tabpack,TabPack Muon
hsa-mir-382-5p,outer_val_k1_r2,0.3642397016962311,1,tabpack,tabpack,TabPack Muon
hsa-mir-3934-5p,outer_val_k1_r2,-0.0069254433859635,1,dcnv2_muon,dcnv2_muon,DCNv2 Muon
hsa-mir-411-5p,outer_val_k1_r2,0.2563952053481405,1,tabpack,tabpack,TabPack Muon
hsa-mir-423-5p,outer_val_k1_r2,0.486535793028563,1,xgb_optuna,xgb_optuna,XGB Optuna
hsa-mir-449a,outer_val_k1_r2,0.0469751988935165,1,tabpack,tabpack,TabPack Muon
hsa-mir-4731-3p,outer_val_k1_r2,0.1739629909405301,1,tabm_muon,tabm_muon,TabM Muon
hsa-mir-486-5p,outer_val_k1_r2,0.7228831938065254,1,tabpack,tabpack,TabPack Muon
hsa-mir-487a-3p,outer_val_k1_r2,0.4466973135054082,1,tabpack,tabpack,TabPack Muon
hsa-mir-495-3p,outer_val_k1_r2,0.8391416448013116,1,tabpack,tabpack,TabPack Muon
hsa-mir-503-3p,outer_val_k1_r2,0.151962398246768,1,tabpack,tabpack,TabPack Muon
hsa-mir-532-3p,outer_val_k1_r2,0.3600418858112982,1,tabpack,tabpack,TabPack Muon
hsa-mir-556-3p,outer_val_k1_r2,0.1851519399139837,1,tabm_muon,tabm_muon,TabM Muon
hsa-mir-582-5p,outer_val_k1_r2,0.6521860165099744,1,tabpack,tabpack,TabPack Muon
hsa-mir-590-5p,outer_val_k1_r2,0.3429735463576655,1,tabpack,tabpack,TabPack Muon
hsa-mir-592,outer_val_k1_r2,0.1828247934830942,1,tabpack,tabpack,TabPack Muon
hsa-mir-616-3p,outer_val_k1_r2,0.067463897481301,1,tabpack,tabpack,TabPack Muon
hsa-mir-624-3p,outer_val_k1_r2,0.3206916182492324,1,tabm_adamw_ema,tabm_adamw_ema,TabM AdamW+EMA
hsa-mir-642a-5p,outer_val_k1_r2,0.3996850807260909,1,tabpack,tabpack,TabPack Muon
hsa-mir-708-5p,outer_val_k1_r2,0.8353216904902598,1,tabpack,tabpack,TabPack Muon
hsa-mir-887-3p,outer_val_k1_r2,0.6758924360106566,1,tabpack,tabpack,TabPack Muon
hsa-mir-99b-3p,outer_val_k1_r2,0.1033850206705589,1,tabpack,tabpack,TabPack Muon
