baseline,method,metric,n_pairs,mean_delta,median_delta,std_delta,n_method_better,n_raw_better,p_paired_t,p_wilcoxon,p_wilcoxon_bonferroni,p_paired_t_bonferroni,sig_wilcox_0.05,sig_wilcox_bonf_0.05
raw,knn_k10,k1_val_r2,50,0.08111753846087928,0.02501341173003849,0.17044096993208496,33,17,0.0014931564915152415,0.0007549339759211904,0.011324009638817856,0.022397347372728624,True,True
raw,knn_k10,bulk_val_r2,50,-0.003037565093346907,-0.0018378534904514576,0.00683051549152584,19,31,0.002825104298407044,0.00784436585604098,0.1176654878406147,0.04237656447610566,True,False
raw,knn_k10,val_mixed_r2,50,0.00026839934114088274,-0.001760336782240246,0.015646618345174623,23,27,0.9039527583691959,0.5148085516941183,1.0,1.0,False,False
raw,knn_k5,k1_val_r2,50,0.08711168552342904,0.04788413786421132,0.15740958381617082,36,14,0.0002810047319401454,6.825250486741652e-05,0.0010237875730112478,0.004215070979102181,True,True
raw,knn_k5,bulk_val_r2,50,-0.0027755313113152,-0.0017005371724600482,0.006587849851326862,14,36,0.0044873732165911446,0.002049094724295486,0.03073642086443229,0.06731059824886716,True,True
raw,knn_k5,val_mixed_r2,50,0.0021153894954723503,-0.00020471687480483336,0.01659585736608741,24,26,0.3718308461766924,0.7961309923635564,1.0,1.0,False,False
raw,magic,k1_val_r2,50,-0.2836398154839597,-0.04307314491659725,1.1815241716278948,21,29,0.09594587113856051,0.1976349682926415,1.0,1.0,False,False
raw,magic,bulk_val_r2,50,0.00015595153589577652,-0.00010850291999903172,0.010073507001502826,24,26,0.9132770437890234,0.916185835362695,1.0,1.0,False,False
raw,magic,val_mixed_r2,50,-0.015135538910328252,-0.0040087087550499945,0.04348237520667569,21,29,0.01741081008005503,0.029727315082014982,0.44590972623022473,0.2611621512008255,True,False
raw,ne,k1_val_r2,50,-0.03514444864444686,0.08511162552730334,0.8724141394204504,37,13,0.776958140079052,0.0010251160635235124,0.015376740952852685,1.0,True,True
raw,ne,bulk_val_r2,50,-0.0013055440258480317,-0.0016084518508004964,0.007672852635878646,21,29,0.23469944617802888,0.22231487615329293,1.0,1.0,False,False
raw,ne,val_mixed_r2,50,-0.0013156115452314853,0.0007230693518012199,0.027785400678603512,26,24,0.7391988531563375,0.5272794190915597,1.0,1.0,False,False
raw,softimpute,k1_val_r2,50,0.05622914375015717,0.0176575421545989,0.21193524266658634,31,19,0.06661231030629182,0.12799334338745183,1.0,0.9991846545943773,False,False
raw,softimpute,bulk_val_r2,50,-0.0016599411886926928,-0.0014673133777332037,0.008923282035695713,20,30,0.19450240280943204,0.07885790741956278,1.0,1.0,False,False
raw,softimpute,val_mixed_r2,50,-0.005140523614243779,-0.003672349680520423,0.02422212596642867,18,32,0.13986212816776608,0.040940454006349825,0.6141068100952474,1.0,True,False
