target,xgb_default,xgb_optuna,dcnv2,realmlp,resnet,tabm,tabnet
hsa-mir-4731-3p,-0.0532948502830612,0.1343949200455929,0.1234765663399996,0.1549413081977213,0.1581314448186376,0.1811533070007592,0.1179782119926733
hsa-mir-624-3p,0.1052466221580149,0.1652074329974632,0.1241828562458442,0.1970707819660691,0.1985584907310047,0.2082019763921906,0.1754308165825171
hsa-mir-556-3p,0.2947214763848401,0.3817698850838936,0.3522707029696579,0.4906110818049234,0.4315881287111819,0.4529943686174223,0.4352727724313303
hsa-mir-15a-3p,0.3790761600413908,0.4280115045068094,0.4404137159597842,0.4460959190784387,0.4311759753006033,0.4407525380965633,0.4373951552740165
hsa-mir-301b-5p,0.4073223382883828,0.4485221079322644,0.5032551407668595,0.4988629655475227,0.5076800927058804,0.5215344388921799,0.5105535619837368
hsa-mir-301b-3p,0.4283082874717958,0.5197110261733292,0.5613556760565457,0.5890214484104408,0.5891771204976528,0.6170611413803344,0.5915125797264398
hsa-mir-503-3p,0.4310073457548188,0.4710951417600343,0.5477822494625842,0.5743011094378365,0.5477342527377311,0.5777020782364208,0.5419516240467097
hsa-mir-642a-5p,0.4515624475996062,0.5341151919315453,0.55442415097703,0.6025774743643516,0.5525349840283391,0.6073359317496143,0.537309419917289
hsa-mir-616-3p,0.4809126399996697,0.5170615446365148,0.5236304937490175,0.5403585502391051,0.5311323231953745,0.5505343370134321,0.5291329971691991
hsa-mir-301a-5p,0.5428338566575945,0.5895156393665997,0.5911046087790504,0.6197919741603948,0.6036336602828707,0.6286897027307434,0.6071362763490725
hsa-mir-532-3p,0.5551943811287826,0.6491177311159012,0.6080226626876541,0.6909084760394715,0.6609779122607861,0.7095461470103934,0.6681585743547319
hsa-mir-582-5p,0.5917160184685111,0.6665274048907515,0.6668837463306274,0.7037681616753844,0.6980226935174527,0.7062769454412501,0.6854199952388209
hsa-mir-3934-5p,0.6081674355500875,0.6306631367170203,0.6452771306208454,0.6509540278635992,0.6526414254054707,0.668505469567701,0.6417179437388669
hsa-mir-299-5p,0.6874054568459481,0.7239853579818514,0.701358879234258,0.7499428066355667,0.739069888268767,0.7454242194787186,0.733225988175183
hsa-mir-20a-5p,0.7013801538021092,0.7475905561411604,0.7173710690187758,0.7570174967568369,0.7335341225579338,0.7570259966813314,0.7230346465828946
hsa-mir-125a-3p,0.7215025175030121,0.7593965323410521,0.747195225042387,0.7687308222939215,0.7672759687695003,0.779994894231771,0.7609162157922622
hsa-mir-27a-5p,0.7310537760862605,0.7907232756659422,0.8055931049855982,0.8204491168722076,0.812298199130175,0.8266238860184153,0.814939913613236
hsa-mir-3180-3p,0.7467851682291343,0.7765329927676671,0.7672912037746096,0.798749202416738,0.7728737872716842,0.7911755864061873,0.7540097248040051
hsa-mir-25-3p,0.7484963047434413,0.7840289351194952,0.7516126257246487,0.7484394974677502,0.7621087031023758,0.7599104777416844,0.7641376070683547
hsa-mir-592,0.7576451240940358,0.7978769179396933,0.7933619392542093,0.8122680781556552,0.8074019312554839,0.8218599269721927,0.8095162649394732
hsa-mir-326,0.7663312143653214,0.7869753302758495,0.810336685003044,0.8089924797156316,0.8027402924878836,0.8190514370916185,0.802298430233792
hsa-mir-99b-3p,0.7678182341649042,0.8038523792908336,0.7970712515754261,0.819360651131172,0.8178621749813811,0.8252070210154584,0.8148509611014729
hsa-mir-887-3p,0.7767504437915667,0.8011659787338664,0.8061714439270878,0.8208319117701526,0.8235620494257354,0.8384176878554495,0.8343486267425657
hsa-mir-125a-5p,0.787652071318864,0.8085333803237797,0.803615456331358,0.8102389615964096,0.8074344839969101,0.8082161213812654,0.8009066505037874
hsa-mir-22-3p,0.7890425169442814,0.8120387034385947,0.791140955234837,0.8394077684795096,0.8285290543588262,0.8499062546516245,0.8373026807830282
hsa-mir-708-5p,0.7941011346755985,0.8234067215198975,0.7898779398639826,0.8177230749814538,0.7976054196455098,0.842904371769538,0.826114850684968
hsa-mir-374a-3p,0.7961460312625932,0.8497322574493796,0.8391190064314212,0.8818316389507286,0.8533036855180889,0.8861135809670099,0.881912635763296
hsa-mir-449a,0.7973037498874858,0.8094453810433255,0.8009815740106203,0.8095911920413748,0.8105477441866615,0.8251155906931904,0.804674010670279
hsa-mir-378a-3p,0.7989234215912345,0.8238444130520803,0.8322508854823705,0.8424482034517693,0.8323964625481575,0.8448558073299882,0.830060083627231
hsa-mir-382-5p,0.8125190228810812,0.8439339986696439,0.833127809462222,0.8421997899492698,0.8441084594003879,0.8488490749333912,0.8288792405485781
