target,xgb_default,xgb_optuna,dcnv2,realmlp,resnet,tabm,tabnet
hsa-mir-363-3p,-1.2687800477331308,-0.5284675698080954,-1.1403550239665887,-0.6386399628779253,-0.2199059783667534,-0.4212041609959742,-0.678605011908409
hsa-mir-326,-0.5223687850248013,-0.1517915396622708,-0.058037587129347,-0.019870579903839,-0.0392663731134148,-0.061786561440156,-0.051996319849489
hsa-mir-301a-5p,-0.4780867040177687,-0.2731673938254197,-0.1908193921360481,-0.108544949710331,-0.1098685621491279,-0.0270739177600989,-0.1766392479904475
hsa-mir-616-3p,-0.4087372365116888,-0.1823159278624033,-0.078588002648656,-0.0291686847468866,-0.0535491737698368,-0.0202995530303828,-0.0177703085637965
hsa-mir-411-5p,-0.1809726275436927,0.0648192937397468,-0.1715492236603355,-0.0617603083251219,-0.2633960823268246,0.0164619283627479,-0.0531698812652265
hsa-mir-129-1-3p,-0.1798063502377627,-0.0666446063490466,-0.0329419811148044,-0.0060920582092311,-0.0007469685301126,0.0015697539518518,-0.0034541485939303
hsa-mir-99b-3p,-0.1349812596103281,-0.0520143077058334,-0.1195843401298804,-0.0641367076632251,-0.0092624785248156,-0.0343553949985675,-0.0418434744048346
hsa-mir-3934-5p,-0.134417465616196,-0.0481244604812105,-0.0080691859431933,-0.0092753563581455,-0.0343510655870653,-0.0287015142176085,-0.001293025474051
hsa-mir-200c-3p,-0.1257340603457062,0.0084206685508132,-0.0836591958932433,-0.028686839071671,-0.0493433876141733,-0.013736938210541,-0.0760361813352499
hsa-mir-449a,-0.096594515269369,-0.0494004084795574,-0.0241629460708803,0.009148682559732,-0.0159243462119134,-0.0093612432958567,-0.0364962301161546
hsa-mir-374a-3p,-0.0957949328338905,-0.0344801308574869,-0.1532926799638705,-0.031493247224356,-0.0566753965941406,-0.0687559074528545,-0.1421847271787917
hsa-mir-125a-3p,-0.0927685370717366,-0.0950479977792777,-0.1121987241393684,-0.0529763594649468,-0.0241933057813528,-0.0245124976947743,-0.0171249358894769
hsa-mir-887-3p,-0.0897216478538212,0.0916790172534858,0.0804448700126782,0.0567476766808994,0.1190662280874124,0.0835116971390975,0.0307839656914636
hsa-mir-624-3p,-0.0815422366213356,-0.0188795777295902,-0.1324885669222872,-0.0296396816780668,-0.0162160164024958,0.0007404403230417,-0.0687038015991243
hsa-mir-4731-3p,-0.0588455042213935,0.0031516158140391,0.0025020603804375,0.0011874073980754,0.0149968436674056,0.0073224321164512,-0.030849740820418
