Tissue,N,K,Initial_Var_Abs,Remaining_Var_Abs,Noise_Removed_Abs,Remaining_Var_%,Noise_Reduction_%
Adipose - Subcutaneous,448,4,47686258.5865,11857869.8419,35828388.7445,24.87,75.13
Adipose - Visceral (Omentum),469,4,55356754.185,12340656.4784,43016097.7066,22.29,77.71
Adrenal Gland,287,5,73461017.5599,18238140.8253,55222876.7346,24.83,75.17
Artery - Aorta,325,3,43085541.4606,15705949.6752,27379591.7854,36.45,63.55
Artery - Coronary,166,4,63424447.5231,16453209.3641,46971238.159,25.94,74.06
Artery - Tibial,471,3,44500988.6014,16360321.1487,28140667.4527,36.76,63.24
Bladder,49,3,87424333.7601,25784351.1564,61639982.6037,29.49,70.51
Brain - Amygdala,184,3,26923663.2189,8645824.3729,18277838.8459,32.11,67.89
Brain - Anterior cingulate cortex (BA24),226,2,23335392.6101,9628300.0553,13707092.5548,41.26,58.74
Brain - Caudate (basal ganglia),276,3,25975565.6701,7653894.3802,18321671.2899,29.47,70.53
Brain - Cerebellar Hemisphere,288,2,27118643.3166,13374575.5524,13744067.7642,49.32,50.68
Brain - Cerebellum,269,4,41903741.593,12323793.6719,29579947.9211,29.41,70.59
Brain - Cortex,238,4,47969870.9121,10995723.1329,36974147.7792,22.92,77.08
Brain - Frontal Cortex (BA9),249,4,34307663.2094,9543538.7467,24764124.4627,27.82,72.18
Brain - Hippocampus,237,3,24214406.1299,7215477.0561,16998929.0739,29.8,70.2
Brain - Hypothalamus,237,3,30118325.7346,8640076.8572,21478248.8774,28.69,71.31
Brain - Nucleus accumbens (basal ganglia),269,4,24629478.0412,6180134.4194,18449343.6218,25.09,74.91
Brain - Putamen (basal ganglia),240,2,24410162.6508,13399688.2643,11010474.3866,54.89,45.11
Brain - Spinal cord (cervical c-1),136,3,25483754.469,9189838.3392,16293916.1298,36.06,63.94
Brain - Substantia nigra,156,3,25761327.2596,8586732.0886,17174595.1709,33.33,66.67
Breast - Mammary Tissue,346,5,74627933.699,14074863.963,60553069.736,18.86,81.14
Cells - Cultured fibroblasts,528,4,44252827.7138,12334177.1777,31918650.5361,27.87,72.13
Cells - EBV-transformed lymphocytes,229,3,89662613.0998,28535443.65,61127169.4499,31.83,68.17
Cervix - Ectocervix,16,4,51774403.3373,11868048.9086,39906354.4288,22.92,77.08
Cervix - Endocervix,17,2,41764175.1339,16872799.5884,24891375.5456,40.4,59.6
Colon - Sigmoid,380,5,60812686.445,10326925.7672,50485760.6778,16.98,83.02
Colon - Transverse,448,4,103300789.1423,26263858.5802,77036930.5621,25.42,74.58
Esophagus - Gastroesophageal Junction,358,2,70312200.9634,37841453.0481,32470747.9153,53.82,46.18
Esophagus - Mucosa,582,4,48973663.6177,10382905.0583,38590758.5594,21.2,78.8
Esophagus - Muscularis,514,4,46312799.0166,12839027.4161,33473771.6005,27.72,72.28
Fallopian Tube,24,3,52139385.5799,17515276.6824,34624108.8975,33.59,66.41
Heart - Atrial Appendage,371,3,51327548.5913,16588654.0164,34738894.575,32.32,67.68
Heart - Left Ventricle,399,4,56094301.7879,13538984.4381,42555317.3498,24.14,75.86
Kidney - Cortex,110,4,41607840.1249,11331681.3215,30276158.8034,27.23,72.77
Kidney - Medulla,12,3,32542834.0142,7895044.0935,24647789.9207,24.26,75.74
Liver,258,3,104400515.4982,32771033.4961,71629482.0021,31.39,68.61
Lung,546,2,46832309.8144,24344195.7781,22488114.0363,51.98,48.02
Minor Salivary Gland,176,4,150159506.0226,31489131.5473,118670374.4753,20.97,79.03
Muscle - Skeletal,663,4,60221346.6271,13717978.4462,46503368.1809,22.78,77.22
Nerve - Tibial,427,4,39483799.889,8816421.4596,30667378.4294,22.33,77.67
Ovary,191,3,39024311.6314,16564541.1424,22459770.489,42.45,57.55
Pancreas,377,4,44452713.3169,10648379.4597,33804333.8572,23.95,76.05
Pituitary,314,3,67739453.1678,26005836.7725,41733616.3953,38.39,61.61
Prostate,268,3,55799788.0077,19266540.4115,36533247.5962,34.53,65.47
Skin - Not Sun Exposed (Suprapubic),524,4,41068528.6958,10599892.2956,30468636.4002,25.81,74.19
Skin - Sun Exposed (Lower leg),559,3,46330010.408,16108081.7263,30221928.6817,34.77,65.23
Small Intestine - Terminal Ileum,191,2,80852830.7363,37392085.7421,43460744.9942,46.25,53.75
Spleen,260,3,40114620.9417,14074055.4774,26040565.4643,35.08,64.92
Stomach,381,4,374382203.0507,82758073.7356,291624129.3151,22.11,77.89
Testis,421,4,34656954.6351,8492529.6681,26164424.967,24.5,75.5
Thyroid,644,3,42154319.1573,14231712.2245,27922606.9328,33.76,66.24
Uterus,155,3,58172785.4393,15047964.9616,43124820.4777,25.87,74.13
Vagina,153,3,56986868.2595,19111358.6257,37875509.6338,33.54,66.46
Whole Blood,693,5,100965822.0297,18005620.6807,82960201.3489,17.83,82.17
