Tissue,N,K,Initial_Var_Abs,Remaining_Var_Abs,Noise_Removed_Abs,Remaining_Var_%,Noise_Reduction_%
Adipose - Subcutaneous,448,3,10648442.1186,3747980.9262,6900461.1924,35.2,64.8
Adipose - Visceral (Omentum),469,4,10399272.0175,2549283.8528,7849988.1647,24.51,75.49
Adrenal Gland,287,3,12953908.6801,3593945.2529,9359963.4273,27.74,72.26
Artery - Aorta,325,3,6857929.5773,2710326.4253,4147603.152,39.52,60.48
Artery - Coronary,166,4,18298346.2609,4598152.967,13700193.2939,25.13,74.87
Artery - Tibial,471,4,9429585.567,2617809.8009,6811775.7661,27.76,72.24
Bladder,49,4,34458735.7476,7532327.9828,26926407.7648,21.86,78.14
Brain - Amygdala,184,3,4674557.4567,1473736.9294,3200820.5273,31.53,68.47
Brain - Anterior cingulate cortex (BA24),226,4,4956552.2183,1298334.1459,3658218.0724,26.19,73.81
Brain - Caudate (basal ganglia),276,4,4886750.0379,1358503.4705,3528246.5675,27.8,72.2
Brain - Cerebellar Hemisphere,288,4,4571735.4894,1362965.7399,3208769.7495,29.81,70.19
Brain - Cerebellum,269,4,5779082.553,1357497.461,4421585.0921,23.49,76.51
Brain - Cortex,238,4,9098764.1021,2121488.3402,6977275.7619,23.32,76.68
Brain - Frontal Cortex (BA9),249,3,6235628.7808,2377283.2639,3858345.5169,38.12,61.88
Brain - Hippocampus,237,4,4937490.9966,1170273.5031,3767217.4936,23.7,76.3
Brain - Hypothalamus,237,4,5308204.7793,1117401.8192,4190802.9601,21.05,78.95
Brain - Nucleus accumbens (basal ganglia),269,3,5026894.8272,1503138.7752,3523756.052,29.9,70.1
Brain - Putamen (basal ganglia),240,3,4447411.7968,1471103.4112,2976308.3856,33.08,66.92
Brain - Spinal cord (cervical c-1),136,4,5038211.8829,1232600.9961,3805610.8868,24.47,75.53
Brain - Substantia nigra,156,3,4997278.3918,1345865.3139,3651413.0779,26.93,73.07
Breast - Mammary Tissue,346,5,14770026.4761,2791832.5852,11978193.8909,18.9,81.1
Cells - Cultured fibroblasts,528,3,8653362.6167,2943949.0801,5709413.5366,34.02,65.98
Cells - EBV-transformed lymphocytes,229,3,19852365.1855,7433346.5282,12419018.6574,37.44,62.56
Cervix - Ectocervix,16,3,12189903.5959,3788469.0018,8401434.5941,31.08,68.92
Cervix - Endocervix,17,3,14996174.0311,3957098.3037,11039075.7274,26.39,73.61
Colon - Sigmoid,380,2,13702176.7549,7570045.9516,6132130.8033,55.25,44.75
Colon - Transverse,448,3,41601270.0758,14260685.6916,27340584.3842,34.28,65.72
Esophagus - Gastroesophageal Junction,358,3,13929587.1882,5359642.6906,8569944.4976,38.48,61.52
Esophagus - Mucosa,582,3,14033698.1558,3951922.0766,10081776.0791,28.16,71.84
Esophagus - Muscularis,514,3,11279796.5383,2968660.5909,8311135.9474,26.32,73.68
Fallopian Tube,24,3,13998530.7011,4795617.3827,9202913.3184,34.26,65.74
Heart - Atrial Appendage,371,4,9317879.3167,2048041.2651,7269838.0516,21.98,78.02
Heart - Left Ventricle,399,4,14793116.0425,3350585.7852,11442530.2573,22.65,77.35
Kidney - Cortex,110,3,6486179.5827,2050711.6276,4435467.9551,31.62,68.38
Kidney - Medulla,12,3,5312747.6132,1385049.3626,3927698.2505,26.07,73.93
Liver,258,4,22973572.4804,6153805.4312,16819767.0492,26.79,73.21
Lung,546,2,7152306.7136,3149633.1582,4002673.5553,44.04,55.96
Minor Salivary Gland,176,3,29590392.6355,8491585.4789,21098807.1566,28.7,71.3
Muscle - Skeletal,663,4,26107310.6886,7943299.8724,18164010.8163,30.43,69.57
Nerve - Tibial,427,4,6548662.1104,1597666.8794,4950995.231,24.4,75.6
Ovary,191,3,13529406.754,4952928.1956,8576478.5585,36.61,63.39
Pancreas,377,4,16188796.7615,3779720.3333,12409076.4282,23.35,76.65
Pituitary,314,4,12798922.4941,2940421.8424,9858500.6517,22.97,77.03
Prostate,268,3,15500628.8171,5441297.0484,10059331.7687,35.1,64.9
Skin - Not Sun Exposed (Suprapubic),524,4,7999033.7659,2000748.2083,5998285.5575,25.01,74.99
Skin - Sun Exposed (Lower leg),559,3,9004835.6456,2796667.5333,6208168.1122,31.06,68.94
Small Intestine - Terminal Ileum,191,4,33714100.5863,9471966.4486,24242134.1377,28.09,71.91
Spleen,260,3,5666419.3752,1883475.3843,3782943.9909,33.24,66.76
Stomach,381,3,96134639.0933,40921371.9655,55213267.1278,42.57,57.43
Testis,421,4,10388425.8965,2827045.7425,7561380.1539,27.21,72.79
Thyroid,644,4,7444376.5902,1642298.3639,5802078.2263,22.06,77.94
Uterus,155,3,17834736.6651,5091596.1205,12743140.5447,28.55,71.45
Vagina,153,4,20127942.4418,4926404.5265,15201537.9153,24.48,75.52
Whole Blood,693,4,33178192.2564,8033693.0543,25144499.2021,24.21,75.79
