,URS,miRNA_name
0,URS00002B452B,Hsa-Mir-8-P1a_3p
1,URS000023B77E,hsa-miR-200a-5p
2,URS00003DB428,Hsa-Mir-8-P2a_3p
3,URS00001BB658,Hsa-Mir-8-P3a_5p
4,URS000055BBE5,hsa-miR-429
5,URS00002E99CB,hsa-miR-551a
6,URS0000EFE3BE,Hsa-Mir-551-P1_5p
7,URS000040249F,Hsa-Mir-34-P1_3p
8,URS000030BD69,hsa-miR-34a-5p
9,URS0000EFC8B5,Hsa-Mir-552_3p
10,URS00005AD632,Hsa-Mir-552_5p
11,URS00001E2F7A,hsa-miR-5581-3p
12,URS0000EFCFBB,Hsa-Mir-5581_5p
13,URS00001B2024,Hsa-Mir-30-P1d_5p
14,URS00004DC6A5,hsa-miR-30e-3p
15,URS00000980C2,Hsa-Mir-30-P2b_5p
16,URS0000237FB8,hsa-miR-30c-1-3p
17,URS00005FF45E,Hsa-Mir-101-P2-v1_3p
18,URS00004D302A,Hsa-Mir-101-P1-v1_5p
19,URS000021D7C8,hsa-miR-186-3p
20,URS000015CB3A,Hsa-Mir-186_5p
21,URS0000D54A4C,Hsa-Mir-760_5p
22,URS000075BD83,Hsa-Mir-760_3p
23,URS0000EFF083,Hsa-Mir-137-P1-v2_3p
24,URS000075D65A,Hsa-Mir-137-P1-v1_5p
25,URS000020E2DD,hsa-miR-197-5p
26,URS000061E740,hsa-miR-197-3p
27,URS0000EFEA01,Hsa-Mir-190-P3_3p
28,URS000075CB24,hsa-miR-190b-5p
29,URS000075CFE7,Hsa-Mir-92-P1d_5p
30,URS000025576D,hsa-miR-92b-3p
31,URS00003496BE,hsa-miR-9-3p
32,URS00004208C5,hsa-miR-9-5p
33,URS0000D55446,Hsa-Mir-556_5p
34,URS0000EFDDF7,Hsa-Mir-556_3p
35,URS0000EFC0B4,Hsa-Mir-1295_3p
36,URS0000EFC791,Hsa-Mir-1295_5p
37,URS000042BD45,Hsa-Mir-214-v2_3p
38,URS0000EFE862,Hsa-Mir-214-v2_5p
39,URS00007E4957,Hsa-Mir-199-P1-v2_3p
40,URS0000554A4F,hsa-miR-199a-5p
41,URS00001BCAC5,hsa-miR-488-3p
42,URS000076F07B,Hsa-Mir-488_5p
43,URS000075A76A,hsa-miR-4424
44,URS0000EFF373,Hsa-Mir-4424_3p
45,URS0000EFCB29,Hsa-Mir-1278_5p
46,URS0000171FEC,hsa-miR-1278
47,URS0000229622,hsa-miR-181b-3p
48,URS0000574E81,Hsa-Mir-181-P2b_5p
49,URS000003F252,hsa-miR-181a-3p
50,URS00003DA300,hsa-miR-181a-5p
51,URS0000488C83,hsa-miR-135b-3p
52,URS000001C659,hsa-miR-135b-5p
53,URS0000272A3D,hsa-miR-29c-3p
54,URS0000759F83,Hsa-Mir-29-P2d_5p
55,URS0000EFC521,Hsa-Mir-29-P1b-v2_3p
56,URS0000EFCC4A,Hsa-Mir-29-P2b-v2_5p
57,URS0000220D63,Hsa-Mir-205-P1_5p
58,URS0000D51848,Hsa-Mir-205-P1_3p
59,URS000075D75C,hsa-miR-215-3p
60,URS0000590C39,Hsa-Mir-192-P2_5p
61,URS00007599F9,Hsa-Mir-194-P2_3p
62,URS000029C2DC,hsa-miR-194-5p
63,URS000032BDF4,hsa-miR-4677-5p
64,URS0000372130,hsa-miR-4677-3p
65,URS0000EFC769,Hsa-Mir-511_5p
66,URS00007E4BDA,Hsa-Mir-511_3p
67,URS0000EFE933,Hsa-Mir-3611_3p
68,URS0000EFE939,Hsa-Mir-3611_5p
69,URS0000EFBE1E,Hsa-Mir-605-v2_5p
70,URS0000785093,hsa-miR-605-3p
71,URS000075D5EB,hsa-miR-3924
72,URS0000EFEAB4,Hsa-Mir-3924_5p
73,URS0000D55155,Hsa-Mir-1296_3p
74,URS000002103A,hsa-miR-1296-5p
75,URS0000EFE7DE,Hsa-Mir-7151_3p
76,URS0000EFE901,Hsa-Mir-7151_5p
77,URS00002FAF0F,Hsa-Mir-346_3p
78,URS0000134ADC,hsa-miR-346
79,URS00005743AE,hsa-miR-107
80,URS0000035FEE,Hsa-Mir-103-P1_5p
81,URS00003A42F5,hsa-miR-3085-3p
82,URS0000D56B0E,hsa-miR-3085-5p
83,URS0000759A79,hsa-miR-1287-3p
84,URS00004C5774,hsa-miR-1287-5p
85,URS00000114BC,Hsa-Mir-146-P1_5p
86,URS0000D52743,hsa-miR-146b-3p
87,URS00000F8038,Hsa-Mir-1307_3p
88,URS0000D4FD8F,Hsa-Mir-1307_5p
89,URS0000EFCBEE,Hsa-Mir-6715_5p
90,URS0000552FF1,hsa-miR-6715a-3p
91,URS0000D562D3,hsa-miR-9851-3p
92,URS0000D50487,hsa-miR-9851-5p
93,URS000075C2EC,hsa-miR-3663-3p
94,URS0000EFBF37,Hsa-Mir-3663_5p
95,URS0000446855,hsa-miR-3944-3p
96,URS0000EFC44D,Hsa-Mir-3944_5p
97,URS000055128B,hsa-miR-210-3p
98,URS000075D16F,hsa-miR-210-5p
99,URS000010244B,Hsa-Mir-675_3p
100,URS00004E5112,hsa-miR-675-5p
101,URS00007E3F24,Hsa-Mir-483_3p
102,URS000003575B,hsa-miR-483-5p
103,URS0000759B67,hsa-miR-1343-5p
104,URS00000DA3DF,hsa-miR-1343-3p
